НАЗВАНИЕ.СМИ,ТЕЛЕФОН,АДРЕС.СМИ,ЭЛ.ПОЧТА...САЙТ,ГЛАВНЫЙ.РЕДАКТОР,ОБЛАСТЬ,ГОРОД.РАЙОНЫ,ТИП.СМИ,СОБСТВЕННИК,email,web
Аршалы айнасы,87164421357,"п.Аршалы, районный акимат 1-этаж, ул.Ташенова, 47",arshalyinfo@mail.ru,Майра Мырзатхан,Акмолинская область,Аршалынский район,Газета,"ТОО ""Аршалы-Инфо""",arshalyinfo@mail.ru,
Вперёд,87164421357,"п.Аршалы, районный акимат 1-этаж, ул.Ташенова, 47",sona_25@mail.ru   ,Александр Цыганов,Акмолинская область,Аршалынский район,Газета,"ТОО ""Аршалы-Инфо""",sona_25@mail.ru,
Бұқпа,87162445725,"ул. Потанина, 3, 3 этаж",bukpa@list.ru,Төлеген Қажыбай ,Акмолинская область,Кокшетау,Газета,"ИП ""ASVERASHI""",bukpa@list.ru,
Есіл-Инфо,"87164722125, 87024348885","Есиль, ул. Д.Конаева, д.13 ",gazetaesil@mail.ru,Юлия Чубарова,Акмолинская область,Есильский район,Газета,"ТОО Редакция районной газеты ""Жаңа Есіл""",gazetaesil@mail.ru,
Көкшетау,87162255874,"ул. Потанина, 31","gazeta_kokshetau@mail.ru,  http://kokshegazet.kz/",Серик Жетпискалиев,Акмолинская область,Кокшетау,Газета,"ТОО ""Көкше-Media"", Жалгасбек Сулейменов",gazeta_kokshetau@mail.ru,http://kokshegazet.kz/
Акмолинская правда,87162251416,"ул. Б. Момышулы, 41","akmolynka@mail.ru, http://apgazeta.kz",Серик Смагулов,Акмолинская область,Кокшетау,Газета,"ТОО ""Редакция газеты ""Акмолинская правда"", Косянюк Валентина ",akmolynka@mail.ru,http://apgazeta.kz
Ақкөл өмірі,87163821504,"Акколь, ул. Нурмагамбетова,57","Akkol_gazeta@mail.ru , akkolgazeta.kz",Куаныш Нурсадыков,Акмолинская область,Аккольский район,Газета,"ИП Самал, Нурсадыков Куаныш",Akkol_gazeta@mail.ru,akkolgazeta.kz
Алтын астық,87164221369,с. Егиндыколь ул.Победы 7,"egindikolinfo@mail.ru, eginredakciya.kz",Светлана Гурбанова,Акмолинская область,Егиндыкольский район,Газета,"ТОО ""Егiндiкөл info"", Гурбанова Светлана ",egindikolinfo@mail.ru,http://eginredakciya.kz/
Арқа ажары,87162251560,"ул.Сатпаева, 7","arka_kokshetau@mail.ru, https://arka-azhary.kz/",Кайырбай Торегожа ,Акмолинская область,Кокшетау,Газета,"ТОО ""Ақмола тіршілік"",Торегожа Кайырбай",arka_kokshetau@mail.ru,https://arka-azhary.kz/
Простор-Атбасар,87164356301,"Атбасар, ул. Лука Белаш, д. 54-б кв. 1",Prostor_atbasar@mail.ru,Динара Жанахметова,Акмолинская область,Атбасарский район,Газета,"ТОО ""Атбасар-Информ"", Исабекова Бахыт",Prostor_atbasar@mail.ru,
